freq	lex	sub

-431.798158469	-420.186489636	-401.96166652
-391.516161485	-381.284825865	-370.862730821
-410.038355542	-421.33849551	-377.734805836
-416.450454095	-397.876486297	-379.95554162
-430.721958637	-423.681223446	-389.105889981
-399.120308925	-422.149483022	-399.887812354
-394.525881175	-376.405269792	-388.472651831
-430.165960032	-418.055790268	-407.847279174
-371.023519605	-388.244411667	-355.124671447
-373.866769203	-399.156877926	-377.486714978
-403.272959196	-382.619030382	-383.22467979
-406.741995132	-415.223630314	-398.819865753
-474.913027092	-441.441004584	-412.156399342
-426.316942209	-400.358554126	-374.437850574
-395.605260524	-373.85284514	-381.66252793
-377.350194821	-388.288770934	-375.026026803
-401.448734813	-425.814155073	-391.081148091
-419.771611299	-409.155506348	-389.795978742
-424.8905509	-453.459900478	-398.073067521
-427.653627709	-412.382027491	-408.457162536
-409.798171537	-432.560134019	-398.329161936
-430.557625864	-354.356529539	-386.381556214
-401.056319483	-433.157499497	-418.008172446
-466.769572387	-400.820035236	-420.384093736
-437.166416728	-442.277048388	-429.173222668
-443.638821633	-427.49170218	-414.958294912
-416.274403638	-450.634934121	-408.509426249
-446.52358804	-433.798617307	-374.163750865
-362.88676219	-376.728738853	-361.683192585
-402.32388273	-390.733563994	-385.528878596
-417.909995433	-400.450311649	-375.597936801
-420.490169649	-388.999861498	-400.826367336
-388.618530407	-405.164137233	-395.004432252
-400.013590006	-401.559745197	-392.436584867
-383.022992113	-359.07173442	-376.212806377
-500.983058891	-440.623981681	-408.818766139
-412.787387785	-396.661482788	-379.168780366
-378.367111843	-388.059037532	-374.169420047
-435.614785452	-392.880815306	-399.066073727
-465.611433462	-389.251262619	-406.428575923
-377.840276942	-384.262447849	-357.470719723
-389.936196029	-401.08281134	-383.782502904
-372.924409937	-391.362605437	-390.790344922
-434.378658272	-429.101215518	-401.475933789
-370.470489441	-389.146641791	-375.372701363
-469.247828246	-385.12506745	-369.824594755
-474.954608771	-440.889008504	-403.54407009
-439.224483273	-405.001872536	-411.896682497
-443.00674748	-382.795909907	-386.041817432
-477.173186321	-404.479156878	-413.57937776
-401.854420857	-388.850364554	-369.306442369
-367.385395596	-369.437274301	-365.255918966
-427.509508499	-388.900142873	-381.082362479
-427.284668715	-407.633082645	-385.36380154
-419.804027947	-396.954099861	-385.586196858
-467.67502169	-414.30791713	-361.613647927
-452.889145906	-398.918060745	-398.080136546
-428.519998211	-427.792634703	-404.544954211
-450.306337035	-455.649204826	-444.111693058
-415.888041033	-383.867400522	-409.306121949
-487.866158891	-396.243497531	-380.412368593
-440.007365047	-412.851118699	-379.917131276
-461.831841316	-422.811753436	-374.01287459
-416.152941938	-388.985666998	-386.013347425
-373.880275949	-386.537761893	-374.428860995
-399.077321454	-373.881395076	-383.296064857
-428.124463628	-422.666287371	-413.843389144
-437.994583017	-404.494565038	-401.348983987
-513.985013318	-426.987800863	-392.530400646
-482.703497719	-428.01744278	-408.320066727
-440.59274624	-422.425553279	-395.699801677
-416.496084017	-443.624552094	-373.147021695
-446.331713223	-385.330637652	-430.036661661
-367.115683211	-355.847795348	-388.887103804
-394.62080083	-429.712049712	-416.787095629
-460.243877773	-414.086593106	-394.893296277
-434.852946494	-408.098849209	-392.567843563
-413.021946989	-387.414161723	-388.551423847
-414.16946915	-375.658100887	-371.439190971
-370.822500395	-392.216609484	-369.598925738
-446.452577882	-396.873438789	-423.289949606
-446.492710145	-394.858184006	-375.453266544
-414.902631308	-428.774413978	-372.3729003
