freq	lex	sub

-364.544906856	-357.375913286	-334.069339943
-466.952823645	-417.967954881	-413.826890354
-424.720025287	-392.722802003	-372.913854798
-413.137741848	-385.2132169	-385.198304648
-398.788454029	-356.514958092	-366.059687947
-415.68682577	-390.391259153	-382.121282132
-390.177369005	-345.622964227	-347.478155296
-361.296185944	-377.202013476	-361.095266198
-390.997336774	-330.778855568	-324.414333548
-405.180853524	-355.758464143	-362.160246573
-415.337402665	-399.668036955	-368.0350424
-365.599836132	-348.745369082	-328.047871553
-386.819373814	-348.96510207	-352.514103279
-404.592359479	-380.860696373	-374.37280836
-401.926908311	-367.700999484	-348.533695389
-406.029996374	-390.414171448	-356.894986665
-440.741590481	-389.763806075	-368.968745771
-381.327953418	-368.961993564	-354.128754634
-401.441586391	-376.006359166	-371.323112212
-391.283503753	-374.072035074	-364.975315624
-427.54827734	-407.398445607	-381.879076902
-371.83431674	-347.013573855	-352.035926633
-401.505845514	-378.459946429	-366.840349323
-364.482523995	-352.265903828	-338.07320939
-396.022573875	-385.447655548	-370.058186173
-306.468643973	-340.859278936	-337.238584212
-359.150725656	-374.98226633	-362.403106141
-407.439371112	-396.658336807	-370.043378982
-384.877277812	-367.237993291	-347.142028866
-375.627054502	-354.640959895	-344.885164867
-396.358580554	-369.794354118	-350.154398322
-388.227094994	-390.545313571	-372.181229004
-409.79432994	-395.887583859	-384.576800135
-389.039115301	-354.612389581	-323.926995266
-362.105670654	-388.262771864	-347.065358735
-402.720164686	-380.060460609	-372.670779487
-344.973090518	-360.662465528	-347.93496409
-389.3991615	-364.638313928	-346.524065913
-382.941260478	-380.050614469	-368.313774805
-404.132556682	-386.359441463	-385.836353174
-369.328384204	-410.355739657	-385.151794129
-374.687813103	-392.702431757	-387.829039065
-439.736811021	-404.844217534	-345.615056897
-385.431538892	-387.774389794	-376.870132118
-406.631569968	-359.109620317	-318.886794269
-411.27678395	-414.959344342	-413.018428801
-378.603917299	-392.176611684	-370.588896893
-347.300334476	-360.152026352	-332.4180237
-428.685328309	-387.642837282	-372.72430119
-414.232760036	-410.199623984	-367.706603365
-436.488405621	-403.91266936	-387.382889911
-417.039903479	-358.270279437	-362.773630066
-431.479490805	-397.164772478	-375.621022964
-404.920632637	-395.325909081	-358.952088878
-365.319725952	-381.501213485	-364.637243692
-362.889096251	-348.162602037	-350.58089229
-390.002534234	-351.80942591	-352.361628207
-402.813203517	-378.010484963	-357.421659117
-411.983968722	-385.349563991	-356.862698084
-432.645916261	-383.990240638	-363.467868217
-421.049161358	-388.876954071	-349.243293584
-331.651942056	-366.676033515	-340.577220977
-414.283024096	-360.807260325	-353.674029085
-344.064374692	-349.736635213	-342.793250716
-435.461308688	-397.468453259	-357.128095495
-507.109158679	-380.794514464	-371.615814465
-396.193522244	-385.666834983	-362.787018513
-380.783533899	-352.815992992	-332.284482404
-425.667550926	-389.831351854	-373.405461506
-465.937915558	-390.128259171	-396.957012144
-403.101880872	-419.731731993	-400.004561851
-405.417394981	-386.453432362	-365.568310276
-368.379339347	-381.973430244	-351.323971858
-390.106810139	-393.139527431	-360.395209669
-405.082374399	-367.167391872	-362.119439465
-410.75154872	-367.039650601	-352.088794097
-361.207827822	-389.508915107	-389.666100143
-403.373772676	-392.258432126	-328.805685492
-444.092587347	-439.711788462	-397.218883511
-404.375500304	-393.616368045	-399.632152931
-396.014250964	-389.999008427	-357.611153564
-383.476838721	-329.580961706	-339.056292552
-377.262523108	-387.304718721	-358.393441542
-403.54076968	-402.504086703	-364.768452108
-369.461014082	-355.592403121	-351.951953389
-390.904525391	-380.377379131	-368.705959736
-455.525044674	-408.42373453	-398.796427519
-402.02479223	-392.516816924	-359.378709676
-405.744396498	-397.028528957	-342.696538213
-403.794182653	-345.744217145	-351.761071428
-459.826697949	-369.347291949	-389.274744166
-414.874255303	-373.420204053	-375.385149762
-415.849600668	-357.988068433	-344.760385208
-380.459386243	-404.318942357	-373.059642914
-396.446552727	-383.36087253	-353.218473197
-395.799942886	-389.326807329	-363.756522138
-361.486381111	-358.012115797	-336.122304677
-391.947525651	-373.136508843	-331.82566777
-411.944333641	-394.358956179	-379.660647916
-350.948615972	-381.821267262	-346.640514616
-475.427316609	-417.893262016	-380.613325267
-382.348994802	-375.029590872	-344.742611986
-422.691193547	-359.465456523	-325.488280838
-394.090073015	-384.064286877	-357.590607546
-436.273467519	-429.116287021	-396.265589891
-408.797828728	-371.318603281	-340.56987163
-384.665549137	-395.19606878	-367.24923642
-395.185788777	-398.515235596	-356.585476656
-383.57381495	-360.925041453	-342.100765727
-381.090965934	-403.152400482	-367.145596994
-399.661432801	-411.995700287	-354.769564292
-404.614300724	-377.351455662	-356.492632729
-385.956765553	-382.017445575	-359.615681077
-354.712290526	-409.418516824	-360.70967533
-398.633373068	-397.94756891	-370.347940323
-392.573023529	-353.092351991	-339.439616615
-438.376779287	-364.256454158	-366.553345981
-421.386659281	-405.89722778	-348.076539946
-425.753445369	-366.436036386	-343.177424612
-385.511268913	-403.011632392	-369.785043625
-345.897641446	-371.916753899	-361.281911498
-433.782763583	-363.484459485	-375.485371688
-383.745840293	-400.933629973	-364.867660079
-410.318139545	-393.540589289	-377.408332719
-369.56595584	-395.670959113	-373.772548855
-389.626185713	-364.867000443	-354.519038466
-410.162847824	-385.980812722	-368.70126524
-422.043761042	-381.581131807	-346.090019467
-387.505841598	-373.705053632	-358.674010072
-429.455239964	-395.504223847	-371.841416505
-379.850066672	-337.104456706	-321.70665793
-388.322285291	-378.797582459	-365.911316015
-404.361305449	-420.007207637	-383.130591713
-401.057362958	-364.528183296	-348.961700972
-430.665612518	-371.939420097	-353.512892601
-388.8420591	-409.918901068	-380.499777934
-419.85914458	-400.19150769	-362.416533002
-401.469125948	-385.494742293	-355.755736801
-434.777671974	-382.086321718	-377.916223759
-415.911417069	-376.953873063	-342.040505483
-375.721365043	-379.146666788	-360.345214677
-392.519178664	-366.400010678	-348.326974598
-440.028523369	-369.518409077	-358.265827949
-338.681760802	-358.237825898	-368.301898621
-392.523525677	-328.248989537	-353.71766406
-383.03175539	-388.309473768	-403.64660639
-370.590594067	-350.449951275	-313.253924525
-352.28095335	-379.214927549	-352.067754165
-421.318398684	-350.534010562	-363.611390261
-423.797117448	-405.191653237	-394.384445358
-394.161123568	-376.611031509	-351.189682958
-402.679819367	-404.521344419	-378.705827568
-391.689799892	-376.843251873	-357.757107049
-383.843209515	-394.073129151	-383.137749181
-419.271079967	-395.628405898	-368.027704096
-410.116294151	-386.310528081	-357.485981636
-366.618527129	-357.232480335	-363.788271568
-398.205640252	-393.690573581	-380.885301898
-370.852772984	-349.495662911	-359.912295458
-434.607274577	-396.651778956	-344.286548734
-407.225359545	-386.465321938	-375.239562027
-386.114279886	-362.691640025	-356.44429666
-418.07744836	-387.195035593	-381.801206164
-353.877375087	-375.817649578	-358.138316319
-412.330150176	-350.193062263	-353.71517483
-418.561528825	-371.952313522	-353.264767055
-392.453462654	-350.614431728	-328.05133351
-404.195981992	-399.354789768	-387.254854125
-370.068067515	-359.652489788	-336.292775785
-385.657785711	-386.005105884	-362.387623842
-417.856088324	-404.556730934	-381.748161348
-428.811018416	-385.415398676	-380.816112202
-435.329361529	-380.175858901	-373.224557214
-414.138658915	-378.858334812	-357.805450323
-371.205275948	-384.225434709	-360.81557208
-359.05022268	-356.376732104	-335.305268612
-425.2973277	-427.653493655	-380.377444656
-443.587075234	-366.689562714	-362.55985898
-420.031964587	-401.899522174	-359.791624837
-397.24841907	-374.900408562	-358.9415456
-397.681077233	-344.486043705	-325.604335688
-356.657216073	-373.908034221	-353.043666298
-400.249867746	-349.836059803	-323.995821488
-346.627262598	-367.86930243	-352.035904519
-403.390636743	-369.299174324	-367.239394289
-398.028245236	-396.751906366	-356.368428712
-421.329506472	-384.045041446	-370.111456549
-363.278546113	-386.169580469	-343.907489551
-378.240550337	-416.192884081	-364.146244627
-424.746633717	-395.574815321	-373.652867833
-349.329947517	-373.258403594	-347.102579292
-400.215939432	-399.714031571	-372.483755716
-364.481031419	-348.892977616	-350.04188425
-377.970621642	-390.5518807	-352.482068396
-429.025002811	-363.761383292	-349.679414208
-428.496721948	-414.010060432	-381.75645382
-374.888857343	-354.903318165	-349.534106972
-385.483009905	-387.06553744	-349.860979367
-378.33201081	-316.621193698	-312.667259749
-377.884409621	-360.58684945	-369.468496321
-415.063566247	-375.486216719	-373.562102982
-396.086823566	-418.106275299	-364.100481879
-361.744207873	-366.125769643	-359.763881643
-377.898849115	-342.689246476	-339.630286502
-357.550181904	-347.546825772	-336.650627711
-452.48746992	-402.770830873	-365.171977671
-354.880506409	-364.342419129	-363.188013198
-393.160806041	-344.752659976	-333.900279205
-377.148276389	-371.548369555	-349.430443235
-391.281420212	-370.127364142	-357.682034658
-346.808273598	-352.303028477	-344.152131336
-361.685944083	-357.739494947	-346.930191606
-356.062934057	-346.311748559	-353.795365867
-365.545054796	-386.742071857	-363.532863716
-378.776686607	-379.115554903	-344.495744434
-389.813524081	-380.417650082	-365.03967995
-362.530983344	-364.929193768	-343.3292637
-390.972096882	-376.833240215	-375.222690952
-373.035981282	-379.350685524	-356.440734659
-374.401386236	-349.217498528	-321.812312308
-416.174740775	-382.928372325	-362.903905027
-342.703923734	-363.619099671	-358.475385207
-382.86358459	-384.270905881	-378.724361657
-408.291188072	-375.914757884	-350.952390896
-405.200785001	-369.03506675	-335.90686796
-392.865446744	-366.20420086	-363.389108811
-361.233496372	-349.324431534	-353.241099829
-439.072339308	-421.164090677	-387.966452438
-360.660603781	-394.479486259	-374.906697183
-463.206107127	-376.292363131	-352.119363225
-406.345048447	-392.642371017	-385.525006312
-399.97798462	-398.457970322	-365.934965737
-391.606013067	-368.698928785	-368.471310344
-397.525305286	-367.732582262	-358.177543861
-416.246827594	-429.031981927	-403.089465848
-424.731484053	-385.05925482	-360.950169149
-364.729005269	-386.34217964	-360.626136088
-380.352054464	-374.832889253	-379.461447737
-410.024155423	-401.056213606	-375.653091503
-406.629499998	-374.243188897	-375.696150133
-439.619042776	-373.177414372	-367.769589863
-431.702813921	-365.714760686	-361.401283679
-356.173040979	-420.752590962	-365.264416926
-449.967310594	-398.181610386	-376.516507508
