freq	lex	sub
-182.434300868	-283.659371727	-233.474443054
-217.594190372	-319.821327586	-258.358433228
-183.776556751	-337.148792386	-254.410645222
-220.022745065	-297.60012305	-260.662175509
-196.46490858	-333.447968193	-246.922100692
-175.162391634	-272.221357447	-228.377025221
-222.267312515	-290.838769934	-208.738742513
-195.604854132	-315.842661885	-265.672034213
-196.777055379	-303.698050055	-239.433545975
-225.51376767	-343.685432595	-264.656319131
-174.244261207	-290.114825036	-224.480662126
-229.988763997	-322.524314613	-260.974163786
-188.333080133	-309.271455737	-251.001953428
-246.795382971	-334.760140623	-261.049331533
-192.968159156	-300.29756692	-241.591601708
-225.910006859	-286.492242086	-224.33414972
-221.048020349	-301.096716801	-220.991080302
-200.267969428	-322.191188634	-297.36008594
-158.549844259	-327.354611014	-235.313989197
-188.212905988	-293.52507085	-240.928450877
-203.44779901	-326.264157675	-263.386062933
-170.085933525	-297.237918728	-246.796782924
-206.955630904	-320.616816272	-245.423710778
-236.773821357	-340.491421982	-256.089104635
-173.124458592	-312.56199108	-229.270574723
-217.004806432	-294.148848102	-243.529762444
-174.081463393	-278.631095501	-228.960684781
-195.089396612	-325.759142936	-233.787611156
-219.517100141	-357.879003443	-253.7031122
-228.098142246	-275.501565045	-226.451453766
-208.450978668	-306.721742545	-266.853695575
-241.284269747	-322.084370104	-227.755819824
-224.830135772	-263.076112653	-213.266790292
-246.805189343	-324.16681131	-233.419737998
-200.377814927	-308.562522097	-250.640968015
-204.460291246	-278.291799705	-215.689916963
-184.117911382	-326.520639666	-252.621500727
-203.487280954	-301.469098029	-237.877739026
-184.483799382	-306.577118689	-246.044814618
-205.40758661	-302.963945766	-250.119383371
-237.977287926	-330.79745897	-237.587937139
-190.789791521	-317.521180621	-235.017205564
-202.804355949	-317.131070148	-244.620757849
-241.994197539	-342.069644748	-263.162514042
-240.969474589	-337.79455223	-279.960464433
-215.058161633	-341.20089661	-266.134480701
-244.189569124	-298.54857347	-226.316627666
-179.844808974	-332.761517415	-251.241822302
-226.591656243	-313.953572688	-238.522955704
-241.044005728	-340.333121655	-252.445986932
-199.018160343	-290.684991266	-243.52354216
-220.723019233	-307.774334303	-250.376674249
-207.446573881	-293.826506735	-239.479137874
-214.263946138	-347.075011785	-256.32357729
-263.284636488	-345.642558654	-271.839675278
-198.536990728	-278.951345692	-239.954989767
-211.008645817	-321.319133772	-250.796232495
-196.863043951	-336.441880107	-272.811270158
-220.27523191	-294.656891043	-231.348345079
-221.685904693	-310.686585449	-234.40679363
-203.365104477	-285.596618143	-230.616402596
-223.528949294	-336.022550164	-273.048064545
-195.126612972	-301.585167097	-237.592741335
-190.846819818	-292.045357081	-225.522923796
-236.996175428	-346.528142478	-264.272283859
-222.478815362	-302.795402399	-247.357102336
-246.397229376	-326.877994788	-244.725931395
-207.55243243	-297.422186364	-249.990541033
-201.370500154	-274.716790174	-238.40984462
-206.275657298	-304.226685566	-250.006132563
-191.422148453	-298.805790235	-213.674789537
-204.269200316	-330.836247154	-249.126162979
-217.732733868	-325.394577361	-236.717209466
-228.111234625	-328.759496722	-270.325169449
-214.7003828	-300.381121054	-249.965845889
-221.035694246	-334.625593129	-268.310430017
-231.415530317	-324.114792139	-282.89477788
-206.931232199	-291.320955337	-238.821581102
-204.773534937	-289.176075076	-238.23705051
-233.874165932	-340.042213223	-249.615500727
-228.58849919	-337.112283086	-251.784378572
-226.352176756	-321.728033836	-260.821049879
-208.675655558	-323.36414998	-236.95043786
-226.66384337	-270.475511699	-205.21458496
-193.736004387	-312.997694689	-226.630770396
-245.571024337	-316.670538165	-267.302903511
-252.536892459	-284.184075738	-216.839304328
-276.258637283	-331.730415042	-246.542089206
-235.587597197	-291.913501787	-237.467709401
-210.825293856	-286.836165323	-232.774797613
-211.683042225	-307.321431154	-230.592408603
-194.110278016	-305.855228814	-244.984665888
-259.236844637	-343.839475113	-260.100241879
-224.406624749	-315.466078252	-249.341552693
-196.444183835	-332.376288216	-259.305270706
-195.336646785	-349.637744956	-260.472187841
-239.469147541	-318.242705812	-236.36256294
-185.655471651	-310.09300711	-248.539401293
-210.932776393	-336.604842136	-275.804210796
-221.787868737	-344.525950013	-242.307476392
-200.746667013	-313.155591397	-229.676766421
-217.609013504	-319.349236897	-251.944012978
-173.65925073	-276.478847156	-237.938393316
-234.807358171	-319.35593257	-242.73071733
-199.855086292	-330.49145431	-248.913897671
-218.319310057	-303.301092677	-258.651865015
-253.134172921	-319.872357873	-239.068727587
-219.44526076	-314.094525681	-251.272111583
-203.776339148	-300.730072249	-223.864435141
-277.58990225	-319.477653414	-269.294748878
-172.776835894	-260.138531819	-228.229306083
-245.673090828	-325.314110303	-252.90556895
-195.608260157	-315.40166661	-256.421945969
-247.300619276	-304.336816129	-257.986211958
-271.315769503	-352.128500659	-238.630739036
-218.85089071	-311.183331407	-240.828319031
-225.640474454	-342.934165447	-266.753422336
-189.260786354	-275.996552559	-238.155293622
-212.125875894	-303.567438829	-242.480210677
-213.982075174	-317.02563933	-249.862259219
-211.221073096	-303.75537567	-264.209003397
-237.636717393	-325.199141809	-254.697652232
-236.270257042	-352.711631201	-280.189145764
-252.495317451	-306.755661429	-228.526580671
-192.062859677	-325.722620745	-250.023404879
-240.938881575	-309.638934471	-232.925593992
-208.615977211	-290.514245252	-242.992526477
-207.564886395	-282.613280729	-232.254627333
-201.897317689	-275.56207422	-229.451232821
-198.175115058	-284.845725587	-211.799544164
-209.636408368	-344.197304944	-259.476614756
-232.461793463	-300.183512844	-238.846187801
-223.25324541	-317.158368136	-246.885917396
-214.999514527	-322.27691964	-249.445423285
-241.178762634	-299.286263417	-260.232861891
-249.980525569	-336.710786176	-246.219779849
