freq	lex	sub

-169.223094904	-147.39503462	-168.599579574
-228.125331099	-155.416204912	-202.580050713
-169.241967515	-153.401973553	-181.951896202
-193.911314042	-146.017099549	-180.657544621
-226.48442687	-166.141872738	-189.949149913
-179.193637465	-132.218081661	-181.627750589
-193.787761228	-162.473313155	-191.667228094
-186.202698724	-152.624847693	-174.413327487
-182.53907959	-158.70744114	-195.872492507
-166.145462944	-149.159827	-173.885589576
-213.465569629	-175.675387725	-185.508687006
-192.252238896	-165.713706756	-208.124425869
-197.969248076	-154.481021203	-181.414081755
-194.711116944	-158.256408927	-186.307256834
-188.841717049	-165.27548606	-202.611961896
-191.678040178	-171.871992595	-184.098204157
-198.249204682	-185.137860317	-221.291451101
-176.078876018	-162.178214374	-189.157312572
-181.0159765	-138.285688159	-169.072792611
-183.038119065	-166.855081181	-203.021157924
-215.430864019	-171.962571817	-204.484862054
-197.474132619	-163.763054992	-186.06554723
-156.258441356	-161.778454195	-182.280125434
-207.464628382	-148.907877828	-192.403904328
-154.076412108	-151.636863417	-183.323117906
-196.659523193	-166.657294426	-205.290991488
-166.940043498	-149.328574379	-185.087155095
-181.840818007	-144.23145811	-184.071929259
-150.210380008	-155.254167442	-188.653008372
-203.699481176	-168.341187863	-193.769367389
-205.275167539	-171.742099417	-197.928422994
-171.189690684	-155.716926206	-172.065730339
-194.616893654	-139.092266275	-170.064690724
-196.079800047	-159.365580621	-183.508779487
-171.452568255	-160.149384434	-179.165773027
-193.842031542	-177.95495311	-212.61671898
-174.040004909	-150.076283221	-178.851523127
-171.939704219	-143.661658212	-165.350471814
-190.60815359	-152.561999965	-184.737867429
-172.502115425	-140.816897102	-171.926073328
-204.195773686	-168.141827229	-193.187784812
-201.204129666	-175.121125741	-200.795043966
-164.828661367	-166.604984352	-182.813034425
-178.389781914	-172.199260029	-192.952976574
-182.034577326	-154.205095306	-166.528957909
-185.879677017	-183.001095924	-214.486473941
-211.818959852	-167.539398107	-196.697071095
-227.473629989	-155.249508264	-193.613177762
-201.947672365	-167.541448461	-197.358467545
-188.284246244	-134.989981598	-164.8804418
-212.226925757	-161.752376193	-194.613777591
-183.488160328	-168.351284636	-175.920587566
-171.988824474	-152.863273554	-204.566104643
-190.506942243	-146.565644751	-176.580666612
-179.817151458	-159.477093848	-178.642777043
-170.893977332	-172.428573074	-203.700411272
-196.886581469	-193.972170443	-224.800449922
-176.225918713	-163.010109551	-185.254913847
-167.131166347	-156.917881337	-190.252603634
-167.019815402	-148.832075548	-188.852751221
-202.879211531	-168.961853063	-194.712936307
-157.694608981	-131.916649114	-160.948568412
-169.157005339	-146.311292375	-180.034297759
-177.313776667	-135.760534866	-174.635061761
-168.778825772	-150.891818747	-187.675234167
-197.310114301	-163.470359112	-190.502282644
-163.122251266	-155.37267923	-173.654597046
-200.979940057	-142.705645709	-181.941380179
-225.292735061	-152.190405187	-178.037129767
-201.592474129	-155.469212623	-205.009188145
-202.788124229	-145.305621401	-162.17530538
-180.293746637	-150.965155008	-183.302663693
-150.131804518	-135.772358735	-162.238941218
-177.849578606	-164.212557212	-197.688908237
-200.91068595	-172.071373941	-191.733461934
-185.947335252	-150.467643521	-180.680796438
-170.009101466	-160.781704648	-189.705049283
-242.251908628	-184.652462915	-217.162051529
-193.589069513	-186.005774495	-210.36160214
-162.998823877	-146.22059621	-175.600206219
