freq	lex	sub

-135.590759141	-136.770666176	-118.659407569
-159.129028332	-140.892163918	-139.26809658
-125.920010488	-166.311535086	-144.586580018
-125.598125008	-137.625498108	-133.148029734
-153.872411658	-161.330547169	-150.696041475
-139.252136244	-148.159283712	-141.258030435
-148.547823398	-160.131918674	-144.456346488
-124.839528352	-144.419492524	-128.948653841
-127.423554474	-128.549877081	-106.090215374
-147.316239941	-177.861172848	-150.343703462
-131.208385647	-173.653599376	-160.153502404
-113.55628911	-123.384591961	-124.970858343
-125.071271405	-127.10834166	-118.337727025
-115.147846289	-144.231063185	-123.379499146
-152.365712103	-140.822195165	-128.931744632
-129.411984592	-175.347940609	-136.544769017
-154.730493857	-147.313720185	-149.674537296
-117.624779504	-151.334652027	-148.28795514
-144.325471365	-160.950378475	-143.818199798
-117.054671352	-131.12125985	-134.899791579
-129.105044992	-143.463933271	-110.983160164
-156.989192216	-146.798105798	-143.676884838
-125.974958342	-130.370250791	-127.258332754
-130.44158649	-158.792392092	-147.830959188
-129.207039326	-175.911108371	-143.497000907
-150.368084816	-154.380718294	-145.053839011
-114.56310812	-144.083084193	-133.734394313
-126.188316865	-147.746176598	-132.482968523
-134.893940842	-156.308027908	-135.30275969
-132.260172248	-155.62885475	-136.382105172
-141.871524207	-157.496592042	-129.482990383
-141.034428567	-139.881716569	-130.346134763
-122.478615616	-144.493567914	-130.030809245
-140.987463252	-179.853733277	-147.315464457
-126.329429135	-136.132926791	-101.063242073
-127.059140537	-143.480790997	-131.64422918
-120.458588924	-154.915769541	-148.709493336
-132.423360332	-150.823377465	-124.061482446
-140.879174036	-177.609816695	-160.606400243
-112.170359123	-143.791347016	-126.617969512
-128.647535951	-155.175807941	-130.357358368
-144.642502297	-146.381924886	-119.804475667
-139.579394939	-134.658692112	-134.816347552
-130.248714098	-125.654520276	-126.441583892
-140.01099837	-157.117584838	-177.004611422
-128.152776307	-136.975867075	-118.05550973
-124.862669355	-136.166088326	-124.932959526
-116.937822355	-139.055651299	-129.220636636
-158.972923331	-186.172960017	-170.86568028
-142.899794938	-183.027625947	-170.893429546
-119.639735092	-147.27490159	-137.378349049
-132.114523693	-137.989238825	-128.761821923
-141.839758432	-146.188677596	-124.606304243
-142.450911439	-149.368399965	-127.011566229
-136.047809076	-144.505519222	-134.091199771
-136.989513825	-160.204508532	-140.826008587
-114.903851509	-158.766167461	-146.678031867
-122.681758916	-165.55098947	-150.493517319
-162.322843824	-179.019425432	-152.757433561
-115.923298485	-124.927544751	-123.826792183
-115.797923023	-148.015467317	-141.422883321
-135.570006378	-165.551240614	-144.025129195
-139.250936915	-167.157806332	-148.350690621
-125.179660405	-137.826886249	-140.469899857
-139.076881883	-146.741003399	-129.426969362
-140.464147683	-137.926697004	-136.866457542
-123.696840506	-155.119190847	-142.129606979
-107.439829659	-133.807745089	-128.98452307
-171.053489882	-162.665604321	-149.741189424
-127.364072564	-147.597451503	-130.960370069
-124.732224115	-148.016409553	-137.817254051
-132.048259695	-158.760078183	-150.032326244
-145.029284639	-165.682380398	-136.396809019
-159.827914295	-128.207989583	-100.864045108
-122.612936164	-158.75199119	-139.700984132
-148.159588209	-138.295855197	-124.584425332
-156.614530839	-154.747710993	-139.277731557
-146.46699604	-177.630839398	-171.674697245
-133.085796866	-145.697530582	-134.37031329
-120.360806439	-141.424773663	-131.018864194
-143.828564634	-151.611762564	-129.366440847
-102.780797483	-126.325004065	-120.901426156
-140.865365609	-150.762699799	-143.694423627
-148.581833252	-146.281867539	-139.226222338
-148.132435723	-168.923825425	-161.19984535
-144.459320064	-147.544868588	-133.911858882
-153.139855782	-158.909610584	-143.449914884
-128.885793731	-196.064020735	-167.086860545
-120.360504174	-144.148120645	-128.985647891
-153.46573724	-154.37292006	-139.030781796
-127.147496982	-165.125872407	-145.476776164
-120.831557171	-153.991336483	-154.094960085
-135.056011091	-166.034506007	-123.65899392
-169.472986085	-180.321025372	-161.322919985
-125.678674817	-150.472825879	-142.429530092
-150.920592192	-143.439070812	-128.132949073
-159.208882143	-166.135351455	-157.866119946
-143.644817998	-147.96425964	-143.48165861
-132.075983727	-158.084886744	-128.870087541
-149.713108875	-157.710722701	-133.425630976
-126.755254769	-148.58755032	-123.668422937
-140.070810108	-138.239642896	-127.226307025
-116.886103692	-152.841050842	-134.990685216
-135.9378449	-152.702704754	-124.942755925
-121.975242254	-136.535155181	-123.028078233
-135.122468579	-141.723385036	-128.597636321
-148.597147958	-182.722949763	-145.894052211
-122.123821236	-163.845432641	-140.948506842
-135.737911311	-145.387750153	-135.805374766
-136.620066301	-127.42888417	-138.896159881
-137.85538497	-158.665044567	-170.321769481
-155.773432732	-166.381570609	-143.874053906
-138.003844276	-146.090291819	-141.607049994
-135.424416083	-139.666509387	-157.546952877
-118.290129827	-141.719899913	-131.610861141
-127.207282085	-132.985488574	-142.402154527
-136.99025966	-154.444720062	-148.396064836
-158.526126443	-162.256071061	-143.649263217
-125.874495637	-136.26046283	-122.248427627
-118.397267369	-156.763061966	-149.402172739
-119.653923253	-156.701091953	-157.465063673
-137.010188723	-156.820740289	-140.64190224
-138.35079321	-168.71285423	-153.060601257
-142.188083571	-161.258602938	-137.933057841
-134.74676651	-164.292660685	-137.617686723
-134.812217292	-181.040574428	-172.486471736
-126.407237365	-150.158317268	-124.963073102
-126.473645272	-168.110964371	-158.506681603
-155.885758514	-159.546783374	-142.656828751
-115.429782063	-143.618629568	-129.644494268
-104.576563146	-129.909687465	-129.186862167
-148.118380988	-147.538966813	-140.143533421
-111.893179933	-148.952383226	-128.695840931
-102.649888274	-131.566907961	-131.448945434
-115.095289824	-134.808768678	-118.309437711
-135.285962251	-168.752216086	-154.304086273
-131.989747038	-157.752678146	-151.172326544
-125.693540148	-139.820571932	-135.820150607
-114.573756608	-160.491384017	-145.2954884
-137.470421675	-163.15352957	-131.879536796
-140.938791256	-136.594956332	-132.214332032
-135.141118709	-155.01720801	-130.796284571
-102.975156389	-137.026585994	-130.977690307
-139.531102164	-150.534267589	-137.72602184
-152.009417317	-151.27107539	-145.678170186
-126.000672958	-162.885260384	-150.702373928
-136.233820856	-146.761156083	-141.900085625
-136.916606483	-155.321354415	-130.474751035
-108.712786074	-153.307609195	-130.152555482
-113.174942724	-152.296111011	-139.898148253
-117.43890342	-132.406718349	-129.219154015
-126.887834606	-150.287045282	-147.773677236
-130.918264718	-141.738979662	-141.243054537
-150.200637135	-156.780242137	-135.759765526
-133.964200411	-156.42299586	-135.684596214
-119.740057165	-180.986600752	-175.125277987
-111.600708861	-148.971404342	-141.645520554
-123.911564821	-151.982855145	-126.87877934
-162.930736094	-159.573512419	-127.759586876
-122.306815149	-160.557054847	-139.538347446
-132.519843366	-153.784081273	-141.372573508
-167.948856455	-192.2286851	-133.038625261
-137.268949113	-158.663138775	-159.460973684
-133.56230966	-163.193452976	-139.274280397
-131.423633094	-132.735166861	-138.740829093
-137.728299221	-147.639098833	-130.867750842
-145.925914825	-156.916599082	-151.04154521
-119.401863682	-160.810778539	-149.130969368
-130.173273547	-161.410666367	-153.090029764
-130.532311718	-157.737470396	-155.837242907
-119.38667882	-155.638467527	-139.179573023
-140.608805954	-149.311934551	-135.344323563
-139.325793087	-157.505902395	-139.902113345
-137.302992014	-142.88781887	-124.275479221
-107.38936951	-145.522757847	-138.291555014
-125.105526005	-151.658867775	-138.110127694
-115.443443623	-150.221606164	-142.720932328
-146.297762387	-158.702941982	-144.895421753
-153.022828819	-153.604401773	-141.967135454
-113.417957693	-167.439564428	-150.182856701
-130.393680038	-162.886681908	-133.807486903
-111.919927096	-140.232852113	-133.007256565
-121.901407112	-167.316895679	-145.985758516
-128.876204106	-153.182125755	-142.669748976
-134.198512802	-141.559392332	-132.648039826
-113.034936984	-145.809118821	-120.935070892
-142.499634792	-154.837312218	-142.763025845
-142.28730491	-151.92469523	-144.218523807
-132.876000975	-140.540442812	-141.400699515
-107.339555859	-137.513373012	-132.025132527
-130.988614226	-138.861244608	-135.227297455
-168.284531421	-140.828549867	-134.990038657
-131.03739931	-161.047568051	-133.406114535
-110.98018779	-151.846214792	-127.974824778
-135.594381033	-157.86001157	-136.889885685
-124.95496642	-162.034076499	-155.815693574
-146.425582079	-141.334061066	-125.865659752
-97.9504678446	-143.495943974	-123.739745075
-128.910415088	-155.326533804	-148.193464163
-148.250053828	-128.555332361	-124.404279602
-139.000547719	-152.687130651	-142.484672819
-133.363125711	-142.444845696	-134.30937146
-142.668971427	-154.160511774	-147.518203272
-164.919992206	-187.317350032	-170.19227695
-127.248930724	-169.971763427	-151.608926602
-108.822745149	-188.02140076	-165.059201456
-132.444468073	-147.501529026	-147.763316218
-135.148976136	-161.751119252	-150.390312202
-122.757813414	-134.627013521	-130.826124581
-95.216066702	-156.217147354	-133.634996579
-154.195019242	-141.288968121	-144.702429449
-131.284199438	-183.171882036	-167.142486375
-90.8107383806	-130.769389804	-123.337184355
-150.226984472	-139.237932957	-133.443708719
-121.550992526	-126.64777525	-118.68002373
-132.379003626	-139.904034746	-144.472032958
-110.787703382	-133.142789593	-132.864215052
-130.879075707	-139.772074169	-117.651973929
-105.600099971	-154.121903646	-134.793655057
-123.52983423	-140.995560467	-123.870881131
-140.477975806	-150.518960787	-140.681488551
-129.921853331	-129.118780472	-129.050955766
-100.564297501	-144.294279415	-139.32816511
-129.046579818	-144.218604478	-122.433491752
-101.59622239	-163.478250232	-144.877726103
-117.39490265	-149.427605832	-139.356644663
-123.104239093	-142.872996181	-149.371853245
-157.140238773	-165.807663443	-152.204048982
-92.3779253596	-157.867103867	-136.356739077
-134.388126808	-112.463530663	-114.091503126
-133.178252374	-124.254107946	-117.433568834
-140.577244219	-157.770269778	-128.792011245
-134.504009992	-138.275442309	-139.925426309
-107.470650706	-139.394470684	-132.749071107
-127.244794882	-162.307896333	-137.461976767
-130.747630465	-160.148662412	-141.967502989
-128.395885943	-159.296494096	-153.715898968
-148.336038234	-143.643839116	-126.189264829
-132.774963946	-174.458457046	-147.524327445
-132.230266797	-141.231727433	-124.289616735
-129.888853982	-153.048111107	-135.414968509
-147.8538984	-135.15839771	-132.96392352
-99.2946721617	-121.757683387	-130.678904864
-167.869263512	-142.517468875	-132.004480808
-143.17095006	-160.598159084	-141.538027422
-136.886409456	-163.764170747	-137.675103933
-114.550598911	-156.10234454	-135.198074061
