freq	lex	sub
-710.985576018	-566.396053274	-714.324403579
-706.23489955	-520.073271481	-636.241398199
-735.455761587	-576.063177335	-715.738872345
-819.849634934	-602.344548594	-710.029105557
-808.334819888	-522.282563042	-650.77105515
-668.528750835	-547.237956771	-667.259838876
-702.409489729	-531.071083952	-692.443885743
-725.710305367	-522.733188761	-687.958021262
-727.683745703	-531.345007264	-685.928528614
-780.407637072	-591.446677645	-694.619633198
-733.896821075	-558.594218789	-696.320742489
-765.109177478	-578.31339563	-677.152129124
-740.725165614	-584.000492972	-736.321980436
-717.559163378	-563.596728216	-678.607500283
-705.22269203	-560.941464854	-715.600111619
-761.445485862	-557.88704661	-735.217405547
-758.355083608	-549.330407811	-691.605832409
-663.85669582	-519.951332044	-682.749279043
-753.689998788	-541.604849804	-692.13407207
-722.6195697	-508.08877286	-654.775882009
-668.885004391	-512.194215444	-640.471906461
-640.162851536	-540.785430521	-728.532557896
-746.187645265	-574.381033238	-710.294407682
-768.224838541	-600.065099769	-729.583724819
-684.972987145	-564.403823873	-702.89122393
-784.695590989	-562.290617016	-720.617887614
-750.67047075	-548.606339675	-696.625275905
-647.179915384	-522.962651102	-645.532316364
-648.505655465	-560.686760203	-697.359964437
-672.067149433	-568.734137966	-733.005512277
-680.469692805	-542.490293792	-654.97529152
-707.681731781	-516.276487605	-684.076191151
-712.434027298	-579.549395791	-703.34189136
-696.303821423	-504.321123645	-688.095186287
-674.628300636	-524.885719205	-686.170102043
-832.431446861	-565.402166438	-716.616426314
-878.276658905	-596.383962639	-703.713787686
-727.782529257	-563.500424266	-679.08621802
-744.454261674	-519.064991966	-685.788463942
-720.102325487	-526.583590867	-701.228765132
-669.493603956	-523.566995839	-648.6737993
-673.038929016	-507.746552812	-710.79808561
-570.857724492	-529.699288039	-671.542989803
-709.152683877	-513.355530326	-673.958261935
-669.022907333	-526.66948013	-680.720129189
-731.333916739	-534.334172372	-718.80863508
-705.072457497	-545.385035705	-697.770869662
-779.574871395	-569.650739498	-707.758506051
-739.842070956	-552.289891778	-718.860883702
-726.606871976	-562.914479363	-723.388846189
-776.226571377	-568.342314389	-739.538843416
-765.947520934	-566.774303572	-715.316254812
-731.36459422	-561.850970892	-708.418260976
-824.122170034	-564.061716023	-740.147537264
-764.717507135	-489.438584587	-655.795703809
-823.800473093	-540.565173407	-698.028330755
-773.435182062	-517.273350985	-688.425409097
-730.534378742	-518.572962806	-682.886470461
-728.020185061	-548.907070162	-690.095887321
-747.629319113	-571.525196306	-700.625576046
-702.685819394	-519.143970659	-662.237448912
-619.848541883	-517.169581225	-685.136724697
-738.339840464	-527.622141792	-671.879576591
-753.164965354	-537.030323602	-710.435904838
-697.462331995	-549.338413662	-672.817873804
-629.071444062	-536.042862408	-672.399717151
-697.46454849	-522.76286401	-654.083156527
-777.025786136	-577.440972039	-688.661605271
-728.394173671	-562.630337036	-714.965665112
-760.359597088	-542.57679059	-668.388364672
-772.317317679	-525.764466363	-685.233303576
-687.941725722	-559.818235794	-663.816402501
-764.375360663	-559.270190059	-728.524404759
-743.882027312	-570.972385415	-722.613838565
-683.803624684	-536.327884129	-662.50891787
-716.51532541	-556.851246833	-703.756586172
-729.683541623	-561.353213297	-699.271826112
-749.864242348	-536.43608323	-690.77773561
-691.11095664	-546.35317847	-701.789507588
-745.680639857	-550.241443347	-704.823201955
-846.159700463	-558.432730788	-708.885017731
-689.237159274	-549.716187437	-673.998438272
-709.885043243	-509.53546968	-668.300861443
-793.733133533	-617.302895916	-733.934160201
-800.624315726	-558.320630578	-676.239029805
-690.076216009	-541.966075707	-685.111204931
-730.504479964	-550.279107056	-669.826935539
-697.639712215	-518.622338229	-651.507609033
-730.196621489	-527.161748346	-674.297355396
-720.008463526	-568.280591752	-712.982562976
-672.810404878	-625.273884043	-709.994386995
-726.202280974	-529.044559179	-687.69058423
-706.641642719	-560.90633561	-696.282823692
-708.155619781	-556.767263504	-707.000347802
-673.738502636	-542.809612106	-675.904778967
-644.698118323	-495.349402193	-657.285663368
-712.649888968	-587.924671301	-686.867508484
-645.958870075	-504.716064566	-687.461080354
-700.162794415	-572.405100937	-717.53707094
-773.10356591	-538.64601608	-693.060725322
-799.172804657	-622.770111539	-729.390415591
-716.540452777	-504.603604027	-674.492474957
-719.244876156	-542.359975297	-689.91593724
-753.581269232	-547.993467287	-720.583373483
-893.37685748	-592.080415521	-708.124226738
-718.188944136	-538.750154983	-725.209635169
-740.196201729	-609.261655222	-742.694088039
-697.902648317	-572.492702796	-721.187360563
-742.163830293	-559.379843669	-695.22223876
-819.825348837	-563.375182747	-715.457263107
-735.32394987	-538.761047168	-693.33979036
-806.941540299	-552.69543877	-688.950813973
-774.847748789	-556.993279763	-707.074034185
-738.667832157	-561.97554048	-742.973019721
-690.14080884	-556.311587659	-698.078241199
-704.478739855	-573.097130004	-677.477250725
-779.596976322	-523.75468244	-708.983557321
